country,Year,predicted_hydro_generation _generation,predicted_hydro_consumption_consumption
Africa,2021,144.8065158315227,146.985047232852
Africa,2022,147.45611361377433,147.27229815715054
Africa,2023,151.67190148220845,151.34850895489438
Africa,2024,157.98435062662898,158.3783696211466
Africa,2025,160.93512378523874,162.3132590372476
Africa,2026,164.20160818540145,164.14477741575197
Africa,2027,168.8678376769555,168.43525446044274
Algeria,2021,0.07198313951145255,0.13592365099827008
Algeria,2022,0.08671009942082131,0.0720396068039285
Algeria,2023,0.11196578132025503,0.06810500293305047
Algeria,2024,0.05802963172926403,0.06985933305953233
Algeria,2025,0.10171261441030532,0.12070109500918125
Algeria,2026,0.10077202137327496,0.08082392319853346
Algeria,2027,0.08843476294953169,0.08109732584643432
Argentina,2021,25.950573911107046,31.992971849014584
Argentina,2022,26.09321024617723,33.78511852989083
Argentina,2023,23.00225501136153,30.862062342327878
Argentina,2024,20.764893582178335,27.551777121650115
Argentina,2025,22.007385519785213,27.902339289591158
Argentina,2026,23.031320154793054,29.860816324405103
Argentina,2027,20.822493380595986,29.353704900622184
Asia Pacific,2021,1937.710143639364,1937.709966818033
Asia Pacific,2022,1990.6110475754142,1990.6109009684842
Asia Pacific,2023,2064.857619095008,2064.857148244543
Asia Pacific,2024,2105.4733536972926,2105.4728072385933
Asia Pacific,2025,2168.5424995524218,2168.541809083519
Asia Pacific,2026,2213.464817520226,2213.4643322799047
Asia Pacific,2027,2276.8053698439353,2276.804768391835
Australia,2021,16.694699279739456,17.500041405027392
Australia,2022,14.880407305200531,14.172040989094977
Australia,2023,14.699884180115724,17.938003727763217
Australia,2024,16.116613898859207,14.734319587154362
Australia,2025,15.22221919852694,14.972611049905236
Australia,2026,15.393727190623569,16.73592351340855
Australia,2027,15.529868599661494,13.775102296190843
Austria,2021,41.57159812728804,40.94924872236959
Austria,2022,39.325433487664164,38.904097008923266
Austria,2023,40.18817486036103,39.79675138185232
Austria,2024,40.04022081208401,39.67836238864303
Austria,2025,39.45398363592192,39.16880184020574
Austria,2026,39.96155657131719,39.662995460940394
Austria,2027,40.487412480446295,39.87027153313438
Azerbaijan,2021,1.2608200092604251,1.2597931847225312
Azerbaijan,2022,1.3541156789837054,1.3557885511966117
Azerbaijan,2023,1.4866944686384733,1.4912323705561772
Azerbaijan,2024,1.5430748868529875,1.5520966991571281
Azerbaijan,2025,1.3163404768853892,1.3204834948329953
Azerbaijan,2026,1.280745055517936,1.2820726007441112
Azerbaijan,2027,1.255399308697899,1.2539413616143746
Bangladesh,2021,0.7577428053048318,0.7069219620021779
Bangladesh,2022,0.8182054612291118,0.8727102911338102
Bangladesh,2023,0.9292498405654828,0.825512854711908
Bangladesh,2024,0.9071657003809621,0.9004411772899477
Bangladesh,2025,0.7455651969443382,0.7975859767226993
Bangladesh,2026,0.7819803085706215,0.8232617391045852
Bangladesh,2027,0.7827492912418308,0.782048432932922
Belarus,2021,0.5839254003314188,0.5779678840404227
Belarus,2022,0.5362089763228052,0.5322234827578404
Belarus,2023,0.5376656513896847,0.5451979937517664
Belarus,2024,0.6123334304384995,0.5564892109516887
Belarus,2025,0.7492824590882929,0.7283207164537664
Belarus,2026,0.7254951767480322,0.7181528000652757
Belarus,2027,0.719723614297135,0.7176883594232645
Belgium,2021,0.31482153845649485,0.32450408364850586
Belgium,2022,0.3472239297963697,0.35166135500475326
Belgium,2023,0.2911174889159113,0.2890469126948178
Belgium,2024,0.31512624754668267,0.3303012346866888
Belgium,2025,0.3107459306225361,0.31086188685228244
Belgium,2026,0.27785284498667234,0.28819114943197244
Belgium,2027,0.30086213994967526,0.312371661930755
Brazil,2021,412.4070862395969,394.7213728719432
Brazil,2022,405.36485739916964,382.64625703520306
Brazil,2023,412.16983581192267,390.8505674769555
Brazil,2024,406.5144272319094,384.4053207292217
Brazil,2025,412.8743057331993,390.1488077346219
Brazil,2026,409.28175604748924,391.15020444711723
Brazil,2027,414.7558686000127,392.91690630878776
Bulgaria,2021,3.5965086175281353,3.7046747964815028
Bulgaria,2022,3.3253998979160952,3.335277672960919
Bulgaria,2023,4.638134643337548,4.701060580092036
Bulgaria,2024,3.7479142848811255,3.8207694888797112
Bulgaria,2025,3.180047148960995,3.2065317444022323
Bulgaria,2026,4.201610485220613,4.252049545473728
Bulgaria,2027,3.5700588416381116,3.5792292964830184
CIS,2021,258.4860817227336,258.4852393619209
CIS,2022,260.09104974396024,260.09018744319656
CIS,2023,267.82061397715063,267.820020903405
CIS,2024,266.9350402426376,266.9344713041896
CIS,2025,266.73454304714363,266.7339725224165
CIS,2026,272.58060685974704,272.58022029624334
CIS,2027,274.0780128518934,274.0775586952468
Canada,2021,384.45647256126,386.25893904762364
Canada,2022,382.9378698752795,384.6938346512314
Canada,2023,382.7674843245604,384.35775336142797
Canada,2024,380.7370444105786,381.85905001056364
Canada,2025,382.8962564888212,383.51347008518604
Canada,2026,384.0636437236864,385.24827490923667
Canada,2027,382.14016493715366,383.3417053554671
Chile,2021,19.852124058337246,20.098589993111926
Chile,2022,19.522648095228213,19.971473970556307
Chile,2023,20.09471551947071,21.732530473114156
Chile,2024,20.777198161911425,20.8149092957605
Chile,2025,19.803582550942643,19.40010691496405
Chile,2026,20.8575770535336,20.922425643308614
Chile,2027,21.05261375031155,21.525394714440626
China,2021,1417.2586842271,1417.2598327536093
China,2022,1457.660092653573,1457.6560159693972
China,2023,1520.2599224158523,1520.2583582534312
China,2024,1533.7103503085,1533.7103812832277
China,2025,1591.6276653794707,1591.6269054412833
China,2026,1627.3698281239167,1627.3686432286065
