country,Year,predicted_solar_generation (twh)_generation,predicted_solar_consumption_consumption
Africa,2021,8.475894951,13.69286873474039
Africa,2022,8.505640629027999,15.234060206686351
Africa,2023,8.075411832965347,16.30673532219378
Africa,2024,7.837863219064046,17.643097883139415
Africa,2025,7.663490244173603,17.961703121255187
Africa,2026,7.684663716946157,18.63142974176505
Africa,2027,7.6657718137654625,19.286721107975083
Algeria,2021,0.6282237860289288,0.5732898541492534
Algeria,2022,0.6234130698392779,0.591841699
Algeria,2023,0.6195515299764873,0.6377103312228081
Algeria,2024,0.6190012870055539,0.6604663159455181
Algeria,2025,0.6242289341335593,0.6632176359242177
Algeria,2026,0.6239691779769295,0.6567722252365049
Algeria,2027,0.6243739916810405,0.6469069173655224
Argentina,2021,1.5047440855745822,1.4413495060548276
Argentina,2022,1.580762846060836,1.3937412076434552
Argentina,2023,1.5261285193920489,1.3726859285904733
Argentina,2024,1.5070762295668128,1.3636274582879933
Argentina,2025,1.5359463592628098,1.3740557560040367
Argentina,2026,1.5246916576979441,1.4072127007633621
Argentina,2027,1.5739001007603215,1.4334407374701839
Asia Pacific,2021,0,0
Asia Pacific,2022,0,0
Asia Pacific,2023,0,0
Asia Pacific,2024,0,0
Asia Pacific,2025,0,0
Asia Pacific,2026,0,0
Asia Pacific,2027,0,0
Australia,2021,28.771857747380615,28.712859019744208
Australia,2022,36.97471352907475,33.00112642356206
Australia,2023,47.01172884626906,37.24834826363314
Australia,2024,56.757547070699964,42.31773855906192
Australia,2025,66.81596491,47.962384686470756
Australia,2026,76.09860020048845,53.30148788426339
Australia,2027,85.57048638480447,57.98461920530593
Austria,2021,2.3793120449933296,1.4918130325318222
Austria,2022,2.693153502477817,1.400429918281144
Austria,2023,2.989397585285078,1.3137853253963927
Austria,2024,3.2677611595518785,1.2202962818918672
Austria,2025,3.524712714262483,1.1469381005588908
Austria,2026,3.7624746994481377,0.8364723439034866
Austria,2027,3.9971666246043744,0.6366657504672982
Azerbaijan,2021,0.05,0.048412162925792326
Azerbaijan,2022,0.05,0.049680879
Azerbaijan,2023,0.05,0.050645615190349894
Azerbaijan,2024,0.052499973,0.051195108
Azerbaijan,2025,0.052499973,0.051598535
Azerbaijan,2026,0.052499972878494526,0.051904228
Azerbaijan,2027,0.052499972881325505,0.052106677998744265
Bangladesh,2021,0.4447130338829771,0.5028772418960122
Bangladesh,2022,0.47714192748106454,0.5762580608920437
Bangladesh,2023,0.5241889655601515,0.6370805146588192
Bangladesh,2024,0.560336443,0.6950945036166793
Bangladesh,2025,0.603303747,0.7406378514417957
Bangladesh,2026,0.6412986781274808,0.7991795899392355
Bangladesh,2027,0.6733712164756357,0.8582754750164565
Belarus,2021,0.2265905926198274,0.2048136329484932
Belarus,2022,0.22825507583035146,0.18900859737165338
Belarus,2023,0.1996935654683551,0.1926236399620518
Belarus,2024,0.22600951002817554,0.18073527281054233
Belarus,2025,0.23781927434345468,0.18165983429196927
Belarus,2026,0.23137481632505202,0.1761990504009308
Belarus,2027,0.24773736021283158,0.17533634703921577
Belgium,2021,5.677644385657595,5.7056957111082465
Belgium,2022,6.102593876845354,6.153328869922328
Belgium,2023,6.516884287009565,6.585816539310872
Belgium,2024,6.760078991,6.8217908639495715
Belgium,2025,6.979400338338916,7.057662810249661
Belgium,2026,7.406832896711225,7.4848818530538965
Belgium,2027,7.730151737182995,7.8066953405224915
Brazil,2021,15.776100705308668,7.878899956478362
Brazil,2022,20.717300871730075,8.546942343972544
Brazil,2023,25.43765651806479,9.696330758049303
Brazil,2024,29.95655465887471,9.787738507265152
Brazil,2025,33.74116324508488,9.186786620091908
Brazil,2026,36.79256238882077,9.132343856437737
Brazil,2027,39.292977009886194,9.579686986225314
Bulgaria,2021,1.4453900194402658,1.4663639694938393
Bulgaria,2022,1.4564103983782137,1.478921145022041
Bulgaria,2023,1.4706712475551114,1.4933012197307485
Bulgaria,2024,1.4669465390713627,1.4920083793333683
Bulgaria,2025,1.4594224967033556,1.483958282898057
Bulgaria,2026,1.4658709595772064,1.4891712143875055
Bulgaria,2027,1.473844743358483,1.5000217394563864
CIS,2021,12.802897914516269,12.871380757511776
CIS,2022,28.704102292789432,29.17454251197665
CIS,2023,54.31772799689263,56.120062010221275
CIS,2024,89.68193211088605,94.64693545
CIS,2025,132.72418992163327,143.70530621569432
CIS,2026,179.7315240652311,200.40958631600157
CIS,2027,226.2569571467001,260.6556268226935
Canada,2021,4.737358356203287,4.873544750459229
Canada,2022,4.522145763000527,4.719635484225709
Canada,2023,4.666141386959877,4.909092800243209
Canada,2024,4.825126694159994,5.135547029788499
Canada,2025,4.800074237993047,5.1177680833255375
Canada,2026,4.991081338981821,5.313084815595451
Canada,2027,4.878009402376782,5.260004810604959
Chile,2021,9.333813958226553,9.053943204276528
Chile,2022,11.508416400275433,10.608714545777051
Chile,2023,13.433802439914027,12.111859411083712
Chile,2024,15.257925268145112,13.440966076318835
Chile,2025,16.746467606572807,14.640667801029863
Chile,2026,18.463622664433586,15.743763079160267
Chile,2027,20.256819079220236,16.81376086738828
China,2021,290.11340953942243,290.09600320194033
China,2022,303.98163439289755,303.9291888
China,2023,303.9194321368148,303.84207129688957
China,2024,297.4294774143812,297.3458988787558
China,2025,286.80542990165895,286.71661176791514
China,2026,273.94374419732554,273.8490666
China,2027,263.97319426893483,263.8824355305182
Colombia,2021,0.18464990126637207,0.17776797422757323
Colombia,2022,0.18063046978200123,0.17305750075558937
Colombia,2023,0.17778497789984227,0.17144533093610004
Colombia,2024,0.17293851553029427,0.17153396179782524
